GENEID,transcript count
ENSMUSG00000005615.16,7
ENSMUSG00000005621.12,2
ENSMUSG00000005625.16,8
ENSMUSG00000005628.13,4
ENSMUSG00000005640.12,1
ENSMUSG00000005649.18,1
ENSMUSG00000005656.10,7
ENSMUSG00000005667.9,3
ENSMUSG00000005672.13,5
ENSMUSG00000005674.10,8
ENSMUSG00000005677.15,3
ENSMUSG00000005681.13,3
ENSMUSG00000005682.10,7
ENSMUSG00000005683.9,2
ENSMUSG00000005686.18,7
ENSMUSG00000005687.15,6
ENSMUSG00000005696.12,7
ENSMUSG00000005698.16,6
ENSMUSG00000005699.17,7
ENSMUSG00000005705.11,3
ENSMUSG00000005716.17,2
ENSMUSG00000005718.9,2
ENSMUSG00000005732.15,4
ENSMUSG00000005763.16,7
ENSMUSG00000005774.13,9
ENSMUSG00000005779.13,5
ENSMUSG00000005802.13,2
ENSMUSG00000005803.15,6
ENSMUSG00000005804.15,5
ENSMUSG00000005813.13,6
ENSMUSG00000005823.10,4
ENSMUSG00000005836.11,1
ENSMUSG00000005846.13,4
ENSMUSG00000005864.8,1
ENSMUSG00000005871.16,9
ENSMUSG00000005873.7,5
ENSMUSG00000005881.14,10
ENSMUSG00000005882.19,16
ENSMUSG00000005883.16,4
ENSMUSG00000005886.15,10
ENSMUSG00000005892.5,1
ENSMUSG00000005893.15,8
ENSMUSG00000005897.15,3
ENSMUSG00000005899.15,18
ENSMUSG00000005907.15,9
ENSMUSG00000005917.16,2
ENSMUSG00000005936.20,15
ENSMUSG00000005947.12,1
ENSMUSG00000005949.10,4
ENSMUSG00000005950.15,1
ENSMUSG00000005951.14,2
ENSMUSG00000005958.16,4
ENSMUSG00000005968.15,3
ENSMUSG00000005973.7,2
ENSMUSG00000005980.16,10
ENSMUSG00000005981.12,4
ENSMUSG00000005982.15,10
ENSMUSG00000005983.16,4
